order_id,item_category,supplier_name,warehouse_name,warehouse_location,fc_associate,order_status,total_quantity_required,total_quantity_received,total_quantity_in_transfer,unit_price,order_cost,lead_time_days,need_by_date,receive_date
69082,Apparel,Supplier_C,WH_EYJ4,West Ralph,Assoc_107,Pending,191,161,30,17,2737,,2025-09-13,
17095,Electronics,Supplier_A,WH_EEZ3,Port Julie,Assoc_172,Received,81,81,0,392,31752,7.0,2025-10-03,2025-10-09
26211,Medical Supplies,Supplier_C,WH_TDY9,North Markborough,Assoc_348,Canceled,114,24,90,44,1056,,2025-08-18,
70787,Food & Beverage,Supplier_B,WH_YNX2,Geraldland,Assoc_520,Canceled,196,13,183,5,65,,2025-08-29,
30983,Food & Beverage,Supplier_C,WH_EEZ3,Port Julie,Assoc_919,Pending,73,24,49,8,192,,2025-08-29,
34751,Food & Beverage,Supplier_A,WH_YNX2,Geraldland,Assoc_287,Backordered,128,63,65,4,252,,2025-10-07,
32407,Medical Supplies,Supplier_A,WH_VNE2,West Kristine,Assoc_767,Pending,33,15,18,62,930,,2025-08-24,
19808,Food & Beverage,Supplier_B,WH_EYJ4,West Ralph,Assoc_985,Canceled,25,5,20,14,70,,2025-08-05,
55345,Food & Beverage,Supplier_B,WH_TDY9,North Markborough,Assoc_392,Canceled,188,187,1,19,3553,,2025-10-06,
39245,Food & Beverage,Supplier_A,WH_EYJ4,West Ralph,Assoc_403,Received,24,24,0,20,480,18.0,2025-08-31,2025-09-03
54272,Electronics,Supplier_A,WH_YWT7,New John,Assoc_588,Received,24,24,0,310,7440,6.0,2025-09-30,2025-10-01
18809,Apparel,Supplier_B,WH_MTP1,Carterstad,Assoc_683,Received,158,158,0,86,13588,20.0,2025-08-13,2025-08-19
59805,Medical Supplies,Supplier_C,WH_HZU2,Popeport,Assoc_423,Backordered,62,42,20,100,4200,,2025-09-25,
33677,Office Supplies,Supplier_B,WH_ULN5,Eileenport,Assoc_787,Backordered,127,80,47,9,720,,2025-08-21,
18604,Food & Beverage,Supplier_C,WH_YWT7,New John,Assoc_202,Pending,147,54,93,18,972,,2025-09-15,
80578,Apparel,Supplier_B,WH_MTP1,Carterstad,Assoc_350,Backordered,82,20,62,66,1320,,2025-09-16,
34549,Office Supplies,Supplier_C,WH_HZU2,Popeport,Assoc_108,Backordered,179,26,153,13,338,,2025-09-10,
54289,Electronics,Supplier_A,WH_HZU2,Popeport,Assoc_259,Backordered,82,77,5,157,12089,,2025-08-29,
94212,Office Supplies,Supplier_A,WH_OMJ4,Murphyshire,Assoc_617,Canceled,74,6,68,10,60,,2025-08-25,
93338,Food & Beverage,Supplier_B,WH_VNE2,West Kristine,Assoc_103,Backordered,43,40,3,10,400,,2025-09-06,
97390,Food & Beverage,Supplier_C,WH_YNX2,Geraldland,Assoc_674,Pending,38,4,34,6,24,,2025-09-26,
83615,Electronics,Supplier_B,WH_YWT7,New John,Assoc_665,Received,120,120,0,115,13800,10.0,2025-09-12,2025-09-19
69306,Electronics,Supplier_B,WH_EYJ4,West Ralph,Assoc_798,Received,180,180,0,102,18360,18.0,2025-08-20,2025-08-30
89248,Food & Beverage,Supplier_C,WH_ULN5,Eileenport,Assoc_342,Received,55,55,0,15,825,6.0,2025-09-05,2025-09-08
45610,Office Supplies,Supplier_B,WH_EYJ4,West Ralph,Assoc_373,Received,189,189,0,11,2079,2.0,2025-10-06,2025-09-29
34909,Apparel,Supplier_A,WH_TDY9,North Markborough,Assoc_458,Backordered,68,28,40,13,364,,2025-10-06,
43912,Apparel,Supplier_B,WH_EEZ3,Port Julie,Assoc_385,Pending,81,44,37,92,4048,,2025-09-01,
50073,Food & Beverage,Supplier_C,WH_HZU2,Popeport,Assoc_439,Pending,39,16,23,7,112,,2025-08-25,
96300,Office Supplies,Supplier_A,WH_MTP1,Carterstad,Assoc_710,Canceled,98,93,5,25,2325,,2025-09-02,
55276,Medical Supplies,Supplier_C,WH_MTP1,Carterstad,Assoc_494,Received,75,75,0,31,2325,14.0,2025-09-25,2025-10-02
28798,Medical Supplies,Supplier_C,WH_EYJ4,West Ralph,Assoc_472,Canceled,27,21,6,104,2184,,2025-09-26,
25061,Office Supplies,Supplier_C,WH_MTP1,Carterstad,Assoc_837,Backordered,139,79,60,47,3713,,2025-10-02,
64400,Office Supplies,Supplier_B,WH_OMJ4,Murphyshire,Assoc_667,Received,59,59,0,31,1829,13.0,2025-08-31,2025-09-02
15156,Medical Supplies,Supplier_C,WH_OMJ4,Murphyshire,Assoc_515,Pending,87,36,51,73,2628,,2025-08-18,
59882,Medical Supplies,Supplier_C,WH_EEZ3,Port Julie,Assoc_576,Canceled,123,86,37,74,6364,,2025-09-15,
37817,Food & Beverage,Supplier_C,WH_ULN5,Eileenport,Assoc_774,Pending,82,65,17,12,780,,2025-09-12,
96628,Apparel,Supplier_C,WH_OMJ4,Murphyshire,Assoc_330,Received,47,47,0,13,611,8.0,2025-09-20,2025-09-25
51503,Medical Supplies,Supplier_A,WH_TDY9,North Markborough,Assoc_524,Received,193,193,0,198,38214,16.0,2025-09-07,2025-09-09
52824,Electronics,Supplier_A,WH_YNX2,Geraldland,Assoc_324,Received,188,188,0,315,59220,2.0,2025-08-12,2025-08-19
89865,Electronics,Supplier_B,WH_ULN5,Eileenport,Assoc_920,Canceled,180,135,45,336,45360,,2025-08-19,
25119,Office Supplies,Supplier_B,WH_YWT7,New John,Assoc_934,Canceled,150,114,36,15,1710,,2025-09-20,
88801,Food & Beverage,Supplier_B,WH_OMJ4,Murphyshire,Assoc_869,Received,173,173,0,10,1730,17.0,2025-08-17,2025-08-19
70913,Office Supplies,Supplier_B,WH_MTP1,Carterstad,Assoc_830,Backordered,70,34,36,26,884,,2025-09-05,
69153,Medical Supplies,Supplier_A,WH_ULN5,Eileenport,Assoc_254,Received,108,108,0,197,21276,7.0,2025-09-09,2025-09-13
39062,Office Supplies,Supplier_C,WH_TDY9,North Markborough,Assoc_525,Pending,62,53,9,31,1643,,2025-08-23,
38285,Medical Supplies,Supplier_C,WH_VNE2,West Kristine,Assoc_977,Canceled,132,1,131,110,110,,2025-08-09,
22694,Food & Beverage,Supplier_B,WH_HZU2,Popeport,Assoc_865,Received,134,134,0,9,1206,14.0,2025-09-22,2025-09-26
43468,Office Supplies,Supplier_C,WH_YNX2,Geraldland,Assoc_841,Received,129,129,0,13,1677,18.0,2025-08-26,2025-08-30
76772,Medical Supplies,Supplier_C,WH_VNE2,West Kristine,Assoc_185,Canceled,44,29,15,66,1914,,2025-08-10,
76441,Office Supplies,Supplier_B,WH_EEZ3,Port Julie,Assoc_316,Canceled,93,43,50,29,1247,,2025-09-16,
36488,Food & Beverage,Supplier_B,WH_MTP1,Carterstad,Assoc_581,Pending,148,13,135,13,169,,2025-08-13,
35555,Electronics,Supplier_C,WH_VNE2,West Kristine,Assoc_872,Pending,73,25,48,479,11975,,2025-09-19,
69902,Medical Supplies,Supplier_A,WH_EYJ4,West Ralph,Assoc_229,Canceled,181,29,152,164,4756,,2025-09-29,
74847,Food & Beverage,Supplier_C,WH_OMJ4,Murphyshire,Assoc_885,Backordered,52,38,14,5,190,,2025-09-28,
64367,Apparel,Supplier_B,WH_MTP1,Carterstad,Assoc_692,Pending,89,73,16,96,7008,,2025-08-20,
49828,Food & Beverage,Supplier_C,WH_EYJ4,West Ralph,Assoc_177,Received,36,36,0,11,396,20.0,2025-09-29,2025-10-06
35234,Medical Supplies,Supplier_A,WH_EEZ3,Port Julie,Assoc_645,Canceled,179,94,85,37,3478,,2025-08-27,
91808,Office Supplies,Supplier_A,WH_YNX2,Geraldland,Assoc_942,Canceled,37,27,10,28,756,,2025-08-19,
77973,Food & Beverage,Supplier_C,WH_ULN5,Eileenport,Assoc_545,Received,197,197,0,18,3546,9.0,2025-09-02,2025-09-07
40836,Food & Beverage,Supplier_B,WH_YNX2,Geraldland,Assoc_945,Backordered,92,31,61,4,124,,2025-08-31,
62035,Food & Beverage,Supplier_A,WH_TDY9,North Markborough,Assoc_683,Canceled,96,3,93,17,51,,2025-09-17,
69552,Apparel,Supplier_B,WH_EYJ4,West Ralph,Assoc_463,Backordered,97,35,62,86,3010,,2025-09-13,
52397,Office Supplies,Supplier_C,WH_VNE2,West Kristine,Assoc_629,Received,31,31,0,20,620,14.0,2025-10-07,2025-10-14
63286,Apparel,Supplier_C,WH_TDY9,North Markborough,Assoc_761,Canceled,124,101,23,12,1212,,2025-10-01,
47716,Office Supplies,Supplier_A,WH_YNX2,Geraldland,Assoc_808,Received,88,88,0,47,4136,12.0,2025-08-30,2025-09-04
78281,Office Supplies,Supplier_B,WH_HZU2,Popeport,Assoc_438,Backordered,189,116,73,22,2552,,2025-09-28,
55442,Office Supplies,Supplier_A,WH_MTP1,Carterstad,Assoc_838,Received,90,90,0,12,1080,18.0,2025-08-17,2025-08-21
39682,Apparel,Supplier_A,WH_EYJ4,West Ralph,Assoc_856,Canceled,80,75,5,77,5775,,2025-09-05,
97458,Office Supplies,Supplier_A,WH_EYJ4,West Ralph,Assoc_403,Received,102,102,0,16,1632,1.0,2025-09-27,2025-09-21
66870,Apparel,Supplier_B,WH_VNE2,West Kristine,Assoc_155,Backordered,188,32,156,91,2912,,2025-09-14,
83147,Food & Beverage,Supplier_A,WH_VNE2,West Kristine,Assoc_687,Backordered,130,122,8,16,1952,,2025-09-03,
11669,Apparel,Supplier_A,WH_OMJ4,Murphyshire,Assoc_982,Canceled,39,4,35,61,244,,2025-09-30,
90805,Electronics,Supplier_C,WH_VNE2,West Kristine,Assoc_255,Received,154,154,0,205,31570,8.0,2025-09-21,2025-09-28
96639,Food & Beverage,Supplier_C,WH_YWT7,New John,Assoc_909,Received,143,143,0,14,2002,15.0,2025-09-09,2025-09-14
60660,Food & Beverage,Supplier_B,WH_YWT7,New John,Assoc_735,Pending,166,25,141,8,200,,2025-09-12,
98728,Apparel,Supplier_B,WH_MTP1,Carterstad,Assoc_260,Received,54,54,0,80,4320,6.0,2025-09-04,2025-09-08
31481,Medical Supplies,Supplier_B,WH_OMJ4,Murphyshire,Assoc_133,Received,83,83,0,200,16600,15.0,2025-09-03,2025-09-05
30469,Office Supplies,Supplier_C,WH_YWT7,New John,Assoc_777,Received,118,118,0,12,1416,8.0,2025-09-05,2025-09-08
86961,Apparel,Supplier_A,WH_VNE2,West Kristine,Assoc_269,Backordered,162,145,17,46,6670,,2025-09-15,
80377,Electronics,Supplier_B,WH_OMJ4,Murphyshire,Assoc_816,Canceled,79,64,15,326,20864,,2025-08-19,
41754,Food & Beverage,Supplier_A,WH_YWT7,New John,Assoc_140,Canceled,198,82,116,10,820,,2025-09-10,
15326,Electronics,Supplier_A,WH_YWT7,New John,Assoc_701,Pending,182,68,114,345,23460,,2025-09-12,
52538,Apparel,Supplier_B,WH_HZU2,Popeport,Assoc_767,Canceled,81,23,58,84,1932,,2025-09-12,
66089,Food & Beverage,Supplier_A,WH_TDY9,North Markborough,Assoc_456,Canceled,95,41,54,5,205,,2025-08-08,
99885,Office Supplies,Supplier_B,WH_TDY9,North Markborough,Assoc_395,Canceled,150,9,141,34,306,,2025-08-21,
27067,Office Supplies,Supplier_B,WH_EEZ3,Port Julie,Assoc_218,Canceled,141,0,141,47,0,,2025-09-23,
19010,Food & Beverage,Supplier_B,WH_VNE2,West Kristine,Assoc_292,Backordered,169,127,42,16,2032,,2025-10-07,
28571,Electronics,Supplier_A,WH_OMJ4,Murphyshire,Assoc_662,Received,83,83,0,274,22742,16.0,2025-08-29,2025-09-04
79418,Medical Supplies,Supplier_A,WH_ULN5,Eileenport,Assoc_418,Pending,151,104,47,43,4472,,2025-09-12,
85098,Electronics,Supplier_B,WH_MTP1,Carterstad,Assoc_763,Received,137,137,0,416,56992,17.0,2025-08-25,2025-09-04
37337,Food & Beverage,Supplier_B,WH_TDY9,North Markborough,Assoc_349,Canceled,151,37,114,14,518,,2025-09-20,
85709,Medical Supplies,Supplier_C,WH_ULN5,Eileenport,Assoc_984,Pending,80,53,27,107,5671,,2025-08-19,
12990,Medical Supplies,Supplier_B,WH_VNE2,West Kristine,Assoc_389,Backordered,160,148,12,188,27824,,2025-09-23,
11038,Apparel,Supplier_B,WH_HZU2,Popeport,Assoc_595,Backordered,95,70,25,79,5530,,2025-09-13,
97456,Food & Beverage,Supplier_B,WH_EYJ4,West Ralph,Assoc_814,Received,156,156,0,14,2184,14.0,2025-09-23,2025-09-29
69266,Food & Beverage,Supplier_C,WH_YNX2,Geraldland,Assoc_495,Received,136,136,0,3,408,17.0,2025-09-10,2025-09-22
62940,Office Supplies,Supplier_A,WH_TDY9,North Markborough,Assoc_202,Canceled,13,11,2,14,154,,2025-10-01,
33177,Apparel,Supplier_A,WH_TDY9,North Markborough,Assoc_900,Backordered,96,79,17,98,7742,,2025-08-19,
95036,Electronics,Supplier_B,WH_HZU2,Popeport,Assoc_489,Backordered,170,124,46,496,61504,,2025-09-02,
39641,Electronics,Supplier_C,WH_MTP1,Carterstad,Assoc_340,Backordered,68,11,57,272,2992,,2025-09-18,
70534,Electronics,Supplier_B,WH_ULN5,Eileenport,Assoc_810,Backordered,17,1,16,216,216,,2025-09-13,
19537,Electronics,Supplier_B,WH_EEZ3,Port Julie,Assoc_483,Canceled,47,15,32,321,4815,,2025-08-13,
99108,Medical Supplies,Supplier_C,WH_ULN5,Eileenport,Assoc_274,Received,30,30,0,176,5280,20.0,2025-09-03,2025-09-07
89824,Medical Supplies,Supplier_A,WH_EYJ4,West Ralph,Assoc_572,Backordered,127,65,62,190,12350,,2025-08-29,
55806,Food & Beverage,Supplier_B,WH_HZU2,Popeport,Assoc_261,Pending,123,120,3,13,1560,,2025-09-27,
28165,Office Supplies,Supplier_C,WH_YNX2,Geraldland,Assoc_806,Backordered,126,108,18,24,2592,,2025-09-21,
52781,Food & Beverage,Supplier_B,WH_MTP1,Carterstad,Assoc_342,Canceled,156,91,65,20,1820,,2025-09-15,
85534,Office Supplies,Supplier_A,WH_YNX2,Geraldland,Assoc_381,Pending,154,12,142,43,516,,2025-10-07,
98949,Food & Beverage,Supplier_B,WH_EYJ4,West Ralph,Assoc_721,Backordered,66,24,42,10,240,,2025-10-10,
45645,Apparel,Supplier_C,WH_MTP1,Carterstad,Assoc_742,Pending,89,56,33,14,784,,2025-08-18,
26713,Office Supplies,Supplier_C,WH_ULN5,Eileenport,Assoc_192,Backordered,93,53,40,16,848,,2025-09-05,
49045,Apparel,Supplier_C,WH_EEZ3,Port Julie,Assoc_643,Backordered,52,16,36,71,1136,,2025-10-14,
56917,Office Supplies,Supplier_C,WH_EEZ3,Port Julie,Assoc_923,Pending,129,19,110,14,266,,2025-09-30,
95102,Apparel,Supplier_C,WH_YNX2,Geraldland,Assoc_966,Backordered,33,25,8,11,275,,2025-09-13,
46041,Medical Supplies,Supplier_A,WH_TDY9,North Markborough,Assoc_477,Backordered,159,97,62,183,17751,,2025-08-23,
31131,Electronics,Supplier_C,WH_EYJ4,West Ralph,Assoc_582,Pending,168,143,25,217,31031,,2025-09-19,
34252,Apparel,Supplier_C,WH_MTP1,Carterstad,Assoc_750,Canceled,189,77,112,93,7161,,2025-09-12,
78431,Electronics,Supplier_A,WH_VNE2,West Kristine,Assoc_138,Backordered,136,29,107,99,2871,,2025-09-10,
38210,Medical Supplies,Supplier_A,WH_YNX2,Geraldland,Assoc_564,Backordered,181,178,3,158,28124,,2025-09-27,
88000,Medical Supplies,Supplier_C,WH_ULN5,Eileenport,Assoc_524,Pending,135,104,31,91,9464,,2025-09-04,
62598,Office Supplies,Supplier_A,WH_TDY9,North Markborough,Assoc_555,Received,102,102,0,11,1122,12.0,2025-09-17,2025-09-23
15744,Office Supplies,Supplier_A,WH_YNX2,Geraldland,Assoc_382,Received,41,41,0,34,1394,7.0,2025-09-18,2025-09-23
30027,Electronics,Supplier_A,WH_EEZ3,Port Julie,Assoc_349,Received,154,154,0,155,23870,18.0,2025-08-05,2025-08-07
39186,Apparel,Supplier_B,WH_ULN5,Eileenport,Assoc_907,Pending,80,18,62,26,468,,2025-09-05,
83116,Office Supplies,Supplier_A,WH_MTP1,Carterstad,Assoc_776,Pending,43,0,43,27,0,,2025-08-17,
59308,Apparel,Supplier_C,WH_EEZ3,Port Julie,Assoc_116,Received,77,77,0,16,1232,14.0,2025-09-13,2025-09-19
28916,Electronics,Supplier_B,WH_TDY9,North Markborough,Assoc_896,Backordered,141,27,114,281,7587,,2025-09-15,
80015,Apparel,Supplier_C,WH_VNE2,West Kristine,Assoc_844,Backordered,127,7,120,17,119,,2025-08-31,
50392,Food & Beverage,Supplier_B,WH_MTP1,Carterstad,Assoc_602,Canceled,28,28,0,4,112,,2025-09-19,
64795,Medical Supplies,Supplier_A,WH_MTP1,Carterstad,Assoc_229,Backordered,169,162,7,169,27378,,2025-09-15,
10320,Office Supplies,Supplier_B,WH_YWT7,New John,Assoc_643,Backordered,126,64,62,43,2752,,2025-10-02,
15718,Electronics,Supplier_C,WH_MTP1,Carterstad,Assoc_973,Received,120,120,0,281,33720,14.0,2025-08-31,2025-09-04
92454,Food & Beverage,Supplier_B,WH_MTP1,Carterstad,Assoc_420,Canceled,90,85,5,10,850,,2025-08-27,
15690,Apparel,Supplier_C,WH_TDY9,North Markborough,Assoc_168,Pending,31,5,26,65,325,,2025-08-07,
65138,Office Supplies,Supplier_A,WH_HZU2,Popeport,Assoc_161,Backordered,181,31,150,31,961,,2025-08-18,
49829,Food & Beverage,Supplier_C,WH_VNE2,West Kristine,Assoc_394,Backordered,100,13,87,20,260,,2025-10-09,
17190,Apparel,Supplier_A,WH_TDY9,North Markborough,Assoc_329,Pending,99,71,28,57,4047,,2025-09-22,
13805,Office Supplies,Supplier_C,WH_EYJ4,West Ralph,Assoc_926,Canceled,153,142,11,6,852,,2025-08-28,
46839,Office Supplies,Supplier_A,WH_ULN5,Eileenport,Assoc_379,Backordered,96,44,52,5,220,,2025-09-28,
75455,Apparel,Supplier_C,WH_YNX2,Geraldland,Assoc_171,Received,199,199,0,91,18109,3.0,2025-09-05,2025-09-05
72130,Apparel,Supplier_B,WH_YNX2,Geraldland,Assoc_564,Backordered,50,23,27,49,1127,,2025-10-07,
92946,Office Supplies,Supplier_C,WH_YWT7,New John,Assoc_186,Pending,49,10,39,44,440,,2025-08-11,
98757,Electronics,Supplier_B,WH_TDY9,North Markborough,Assoc_777,Canceled,134,113,21,262,29606,,2025-09-30,
89137,Apparel,Supplier_C,WH_MTP1,Carterstad,Assoc_453,Canceled,38,18,20,96,1728,,2025-09-30,
29693,Medical Supplies,Supplier_B,WH_HZU2,Popeport,Assoc_783,Backordered,21,7,14,121,847,,2025-09-17,
16440,Electronics,Supplier_A,WH_EYJ4,West Ralph,Assoc_408,Received,45,45,0,441,19845,10.0,2025-09-17,2025-09-18
36736,Food & Beverage,Supplier_C,WH_YNX2,Geraldland,Assoc_279,Received,107,107,0,19,2033,8.0,2025-09-22,2025-09-29
98849,Office Supplies,Supplier_A,WH_YNX2,Geraldland,Assoc_982,Pending,121,2,119,34,68,,2025-08-19,
88408,Office Supplies,Supplier_C,WH_YNX2,Geraldland,Assoc_687,Canceled,191,163,28,31,5053,,2025-08-23,
21453,Electronics,Supplier_B,WH_VNE2,West Kristine,Assoc_432,Received,168,168,0,285,47880,12.0,2025-08-26,2025-09-02
56736,Electronics,Supplier_A,WH_YNX2,Geraldland,Assoc_703,Canceled,144,20,124,252,5040,,2025-09-06,
55207,Office Supplies,Supplier_A,WH_EEZ3,Port Julie,Assoc_897,Received,29,29,0,37,1073,4.0,2025-09-26,2025-09-28
74791,Office Supplies,Supplier_B,WH_ULN5,Eileenport,Assoc_341,Pending,47,16,31,17,272,,2025-08-28,
20822,Medical Supplies,Supplier_A,WH_MTP1,Carterstad,Assoc_281,Canceled,128,114,14,194,22116,,2025-09-22,
29340,Medical Supplies,Supplier_B,WH_EEZ3,Port Julie,Assoc_254,Canceled,27,15,12,133,1995,,2025-08-14,
62488,Office Supplies,Supplier_B,WH_YWT7,New John,Assoc_157,Backordered,139,18,121,24,432,,2025-08-25,
34971,Food & Beverage,Supplier_A,WH_VNE2,West Kristine,Assoc_477,Backordered,29,20,9,4,80,,2025-09-22,
10672,Medical Supplies,Supplier_C,WH_YNX2,Geraldland,Assoc_573,Pending,125,116,9,166,19256,,2025-09-09,
40524,Apparel,Supplier_B,WH_YWT7,New John,Assoc_587,Received,25,25,0,67,1675,11.0,2025-09-17,2025-09-24
33967,Electronics,Supplier_C,WH_ULN5,Eileenport,Assoc_140,Received,191,191,0,274,52334,17.0,2025-08-31,2025-09-02
21802,Office Supplies,Supplier_B,WH_OMJ4,Murphyshire,Assoc_496,Canceled,96,86,10,43,3698,,2025-08-22,
62331,Office Supplies,Supplier_A,WH_EEZ3,Port Julie,Assoc_196,Canceled,82,32,50,47,1504,,2025-08-31,
64767,Apparel,Supplier_B,WH_MTP1,Carterstad,Assoc_696,Received,99,99,0,49,4851,13.0,2025-08-25,2025-08-31
61179,Electronics,Supplier_B,WH_HZU2,Popeport,Assoc_485,Backordered,42,42,0,409,17178,,2025-09-26,
54876,Medical Supplies,Supplier_A,WH_YNX2,Geraldland,Assoc_620,Backordered,14,5,9,99,495,,2025-08-29,
34945,Apparel,Supplier_B,WH_TDY9,North Markborough,Assoc_296,Received,45,45,0,29,1305,10.0,2025-08-29,2025-09-04
20246,Electronics,Supplier_C,WH_HZU2,Popeport,Assoc_955,Pending,179,86,93,498,42828,,2025-10-14,
10175,Medical Supplies,Supplier_A,WH_YWT7,New John,Assoc_485,Received,51,51,0,66,3366,20.0,2025-09-16,2025-09-22
43754,Apparel,Supplier_C,WH_TDY9,North Markborough,Assoc_144,Canceled,103,86,17,40,3440,,2025-08-12,
82335,Medical Supplies,Supplier_B,WH_TDY9,North Markborough,Assoc_339,Received,89,89,0,140,12460,12.0,2025-08-25,2025-08-30
80072,Food & Beverage,Supplier_B,WH_OMJ4,Murphyshire,Assoc_896,Canceled,138,135,3,15,2025,,2025-08-18,
15964,Apparel,Supplier_C,WH_ULN5,Eileenport,Assoc_993,Backordered,23,20,3,71,1420,,2025-09-14,
49874,Medical Supplies,Supplier_A,WH_HZU2,Popeport,Assoc_971,Pending,82,10,72,61,610,,2025-08-18,
28106,Food & Beverage,Supplier_C,WH_ULN5,Eileenport,Assoc_950,Canceled,33,14,19,16,224,,2025-09-04,
77142,Electronics,Supplier_B,WH_VNE2,West Kristine,Assoc_505,Backordered,70,49,21,91,4459,,2025-09-29,
73068,Apparel,Supplier_A,WH_EEZ3,Port Julie,Assoc_201,Backordered,47,8,39,14,112,,2025-09-09,
41943,Food & Beverage,Supplier_C,WH_ULN5,Eileenport,Assoc_877,Canceled,124,78,46,2,156,,2025-09-06,
53116,Electronics,Supplier_B,WH_EYJ4,West Ralph,Assoc_955,Received,150,150,0,422,63300,17.0,2025-09-03,2025-09-10
33558,Office Supplies,Supplier_A,WH_OMJ4,Murphyshire,Assoc_224,Pending,71,53,18,45,2385,,2025-10-05,
11226,Medical Supplies,Supplier_B,WH_MTP1,Carterstad,Assoc_213,Canceled,162,137,25,24,3288,,2025-09-09,
37665,Medical Supplies,Supplier_C,WH_EYJ4,West Ralph,Assoc_835,Received,84,84,0,129,10836,20.0,2025-09-26,2025-10-01
84108,Food & Beverage,Supplier_A,WH_MTP1,Carterstad,Assoc_636,Backordered,27,16,11,19,304,,2025-08-15,
64105,Medical Supplies,Supplier_C,WH_VNE2,West Kristine,Assoc_499,Canceled,21,20,1,119,2380,,2025-09-23,
98993,Office Supplies,Supplier_C,WH_VNE2,West Kristine,Assoc_465,Pending,98,30,68,47,1410,,2025-09-13,
44567,Electronics,Supplier_C,WH_EEZ3,Port Julie,Assoc_236,Pending,100,69,31,223,15387,,2025-08-31,
14032,Apparel,Supplier_C,WH_TDY9,North Markborough,Assoc_812,Canceled,171,46,125,27,1242,,2025-08-10,
84434,Food & Beverage,Supplier_A,WH_OMJ4,Murphyshire,Assoc_306,Pending,61,56,5,3,168,,2025-08-17,
27190,Office Supplies,Supplier_C,WH_YNX2,Geraldland,Assoc_934,Canceled,74,4,70,46,184,,2025-09-25,
49935,Office Supplies,Supplier_B,WH_VNE2,West Kristine,Assoc_986,Backordered,79,15,64,28,420,,2025-09-11,
15895,Food & Beverage,Supplier_C,WH_TDY9,North Markborough,Assoc_495,Backordered,57,31,26,17,527,,2025-08-22,
93673,Medical Supplies,Supplier_B,WH_MTP1,Carterstad,Assoc_844,Canceled,30,13,17,174,2262,,2025-09-20,
16058,Medical Supplies,Supplier_B,WH_EEZ3,Port Julie,Assoc_205,Pending,93,84,9,95,7980,,2025-08-21,
41810,Food & Beverage,Supplier_C,WH_YNX2,Geraldland,Assoc_270,Canceled,99,57,42,3,171,,2025-09-24,
90746,Office Supplies,Supplier_C,WH_YNX2,Geraldland,Assoc_381,Pending,29,21,8,45,945,,2025-09-19,
